generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
1,-24027.43917904859,-91880.50041379442,154089.26266875627,19027.43917904859,1,0,100,100,39.12105263157895
2,-23693.465982932394,-66580.35762114174,151424.9818783568,18693.465982932394,1,0,100,97,38.921052631578945
3,-23473.087140440755,-56332.7198339764,148583.95841734085,18473.087140440755,1,0,100,96,37.194736842105264
4,-18942.45203628094,-52001.94816134723,151925.7469635607,18942.45203628094,0,1,99,95,38.26315789473684
5,-18341.556196108973,-54221.55101379394,146786.47795652275,18341.556196108973,0,2,98,95,38.410526315789475
6,-18341.556196108973,-51899.54818275543,146786.47795652275,18341.556196108973,0,3,97,95,38.247368421052634
7,-17861.008490632456,-51937.22963043375,142742.58759841797,17861.008490632456,0,4,96,98,38.11578947368421
8,-17861.008490632456,-49001.34971588883,142742.58759841797,17861.008490632456,0,3,97,99,37.50526315789474
9,-17861.008490632456,-46796.21359302942,142742.58759841797,17861.008490632456,0,4,96,98,37.8421052631579
10,-17593.763622157654,-45502.42484351057,141687.0275431753,17593.763622157654,0,6,94,99,38.0
11,-17098.079476725856,-48877.44732414629,138238.75984601903,17098.079476725856,0,10,90,98,38.06315789473684
12,-16745.71180517245,-43212.73854001455,133401.22815290725,16745.71180517245,0,20,80,94,36.85263157894737
13,-16505.763874926895,-36905.183898338524,131389.11000822074,16505.763874926895,0,21,79,97,37.415789473684214
14,-16505.763874926895,-33747.713459101615,131389.11000822074,16505.763874926895,0,32,68,96,36.3
15,-16505.763874926895,-31698.035130072498,131389.11000822074,16505.763874926895,0,32,68,93,33.71052631578947
16,-16505.763874926895,-30989.99158605803,131389.11000822074,16505.763874926895,0,39,61,91,34.76315789473684
17,-16135.53869740614,-26480.823578343083,129072.71143186117,16135.53869740614,0,49,51,91,33.97894736842105
18,-15540.443405387905,-26512.03610742624,124009.1849620841,15540.443405387905,0,48,52,87,32.98421052631579
19,-15540.443405387905,-29545.23854019765,124009.1849620841,15540.443405387905,0,41,59,92,32.66842105263158
20,-15540.443405387905,-26709.78593455741,124009.1849620841,15540.443405387905,0,53,47,91,33.584210526315786
21,-15540.443405387905,-26573.349363488745,124009.1849620841,15540.443405387905,0,44,56,92,33.82105263157895
22,-15540.443405387905,-26856.480933924886,124009.1849620841,15540.443405387905,0,46,54,91,27.142105263157895
23,-15425.018651886243,-25070.140539449825,122916.20779522984,15425.018651886243,0,50,50,90,28.31578947368421
24,-14755.659173472894,-22267.643124707145,117973.7095880593,14755.659173472894,0,60,40,90,27.242105263157896
25,-14685.110255595453,-18346.73273559585,116180.09839551627,14685.110255595453,0,74,26,76,13.894736842105264
26,-14616.459011667928,-18069.407804210456,115178.65403752787,14616.459011667928,0,81,19,73,11.652631578947368
27,-14385.217257296492,-16979.817372690133,113639.0334268748,14385.217257296492,0,90,10,70,14.378947368421052
28,-14363.226371434579,-18119.12199298187,113342.52645441303,14363.226371434579,0,81,19,80,15.757894736842106
29,-14295.927339778682,-16272.50051539491,113341.33994539305,14295.927339778682,0,89,11,68,17.08421052631579
30,-13972.651918965134,-16446.732776978835,109813.51138869708,13972.651918965134,0,87,13,85,14.710526315789474
31,-13952.585298874037,-15382.690561595946,108876.86261817176,13952.585298874037,0,95,5,72,14.615789473684211
32,-13952.585298874037,-15503.668224003499,108876.86261817176,13952.585298874037,0,93,7,74,16.205263157894738
33,-13952.585298874037,-16292.057502651265,108876.86261817176,13952.585298874037,0,91,9,68,11.215789473684211
34,-13927.308047989569,-15925.75311451896,108950.49574346942,13927.308047989569,0,92,8,80,14.621052631578948
35,-13835.236279601559,-15413.406616668031,108424.02724938105,13835.236279601559,0,95,5,84,14.91578947368421
36,-13700.9556216081,-15497.451827870598,107537.16379049644,13700.9556216081,0,93,7,83,15.710526315789474
37,-13332.102434645316,-16486.653709254926,103145.21795297173,13332.102434645316,0,94,6,79,13.489473684210527
38,-13332.102434645316,-14830.359270859051,103145.21795297173,13332.102434645316,0,94,6,74,10.43157894736842
39,-13306.377470867734,-14044.78844404883,103713.47768614092,13306.377470867734,0,98,2,68,9.884210526315789
40,-13195.897510881041,-16478.628098611913,102898.49629215067,13195.897510881041,0,94,6,73,11.363157894736842
41,-12801.319360140675,-15390.699014599686,99074.81018779514,12801.319360140675,0,93,7,68,12.56842105263158
42,-12715.827705483902,-15226.358746351772,99513.47366494249,12715.827705483902,0,91,9,66,12.957894736842105
43,-12715.827705483902,-15355.769712383124,99513.47366494249,12715.827705483902,0,93,7,68,16.910526315789475
44,-12662.294084208559,-14357.264295808976,98434.37341727545,12662.294084208559,0,97,3,65,15.33157894736842
45,-12321.249554743536,-13545.868393729796,95689.78756058696,12321.249554743536,0,99,1,62,11.610526315789473
46,-12308.983723630565,-13497.702854051604,95592.08793282595,12308.983723630565,0,97,3,60,11.8
47,-12146.744321920582,-14764.666883684646,94346.44489493314,12146.744321920582,0,94,6,61,14.2
48,-11822.542666729723,-14059.610769364073,91709.82023411103,11822.542666729723,0,94,6,66,15.578947368421053
49,-11554.308838723378,-13651.256161564794,89826.88513549579,11554.308838723378,0,94,6,72,12.868421052631579
50,-11554.308838723378,-15630.483027414022,89826.88513549579,11554.308838723378,0,93,7,74,14.326315789473684
51,-11092.269041059131,-13443.079716398286,86304.55640389155,11092.269041059131,0,96,4,62,8.031578947368422
52,-11092.269041059131,-15058.091990458714,86304.55640389155,11092.269041059131,0,91,9,52,8.678947368421053
53,-11092.269041059131,-12396.357278083615,86304.55640389155,11092.269041059131,0,98,2,46,5.005263157894737
