generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
1,-28286.433512418043,-90339.57359462768,146972.38831662145,18286.433512418043,2,0,100,100,38.97894736842105
2,-18166.283231919177,-66220.1338014786,144939.96507332977,18166.283231919177,0,1,99,94,38.742105263157896
3,-17062.75960779415,-58136.16738118357,133398.69606620225,17062.75960779415,0,2,98,96,38.84736842105263
4,-17062.75960779415,-54640.43517390114,133398.69606620225,17062.75960779415,0,4,96,98,38.410526315789475
5,-16866.26698996977,-45806.167937133796,132602.6779757765,16866.26698996977,0,7,93,96,38.189473684210526
6,-16866.26698996977,-44688.62245658302,132602.6779757765,16866.26698996977,0,13,87,95,37.61578947368421
7,-16227.585269438216,-40630.93020974213,124746.77492124912,16227.585269438216,0,11,89,97,36.357894736842105
8,-16227.585269438216,-40284.50381796753,124746.77492124912,16227.585269438216,0,15,85,95,35.084210526315786
9,-15869.128179338444,-31995.430175228656,121766.04936472999,15869.128179338444,0,22,78,96,33.7
10,-15869.128179338444,-32306.935849746445,121766.04936472999,15869.128179338444,0,22,78,99,34.86842105263158
11,-15869.128179338444,-31804.850061428406,121766.04936472999,15869.128179338444,0,27,73,95,32.77368421052632
12,-15857.972312176411,-31028.072742180288,122302.63428922411,15857.972312176411,0,30,70,94,32.39473684210526
13,-15857.972312176411,-26388.985555728366,122302.63428922411,15857.972312176411,0,39,61,87,27.757894736842104
14,-15857.972312176411,-26232.156025588098,122302.63428922411,15857.972312176411,0,40,60,94,27.652631578947368
15,-15857.972312176411,-28000.803134167985,122302.63428922411,15857.972312176411,0,43,57,90,31.763157894736842
16,-15392.081525851532,-24198.57676277279,117374.53426460833,15392.081525851532,0,47,53,91,32.357894736842105
17,-14298.408929511766,-30223.3513446705,108260.28338798873,14298.408929511766,0,48,52,87,24.510526315789473
18,-14298.408929511766,-21727.16629495924,108260.28338798873,14298.408929511766,0,59,41,84,22.326315789473686
19,-14298.408929511766,-22721.45508746141,108260.28338798873,14298.408929511766,0,57,43,88,20.46842105263158
20,-14298.408929511766,-25802.887208437125,108260.28338798873,14298.408929511766,0,61,39,92,21.42105263157895
21,-14298.408929511766,-23444.331295528402,108260.28338798873,14298.408929511766,0,52,48,84,22.842105263157894
