generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
1,-28678.81476527437,-91980.77956136796,152301.74687315006,18678.81476527437,2,0,100,100,39.1
2,-24978.58921885877,-76950.70974989218,159418.28634814997,19978.58921885877,1,0,100,98,38.65263157894737
3,-24074.627899962798,-60844.03652455828,153518.34207977916,19074.627899962798,1,0,100,97,38.805263157894736
4,-23078.415738616564,-52102.65522125763,147156.20835559786,18078.415738616564,1,0,100,96,38.16315789473684
5,-22593.43622758875,-53621.92822197438,143014.5237119611,17593.43622758875,1,0,100,95,37.7
6,-17575.793244517557,-54532.04960197522,142258.50345833562,17575.793244517557,0,2,98,98,37.05789473684211
7,-17575.793244517557,-41860.666997681925,142258.50345833562,17575.793244517557,0,5,95,90,35.61578947368421
8,-17510.36529041084,-40850.18288795658,141044.9666932672,17510.36529041084,0,13,87,97,36.82105263157895
9,-16150.400714309408,-36596.71606517514,128663.27845697963,16150.400714309408,0,16,84,93,36.02105263157895
10,-15104.034936467851,-37581.084676822975,121475.19328609653,15104.034936467851,0,19,81,98,35.45789473684211
11,-15012.364290253216,-33952.435522959786,120255.24481433841,15012.364290253216,0,23,77,97,35.78421052631579
12,-14828.025127652803,-29999.82947473175,117238.59716297085,14828.025127652803,0,30,70,94,31.18421052631579
13,-14828.025127652803,-27286.399527972626,117238.59716297085,14828.025127652803,0,35,65,94,30.689473684210526
14,-14828.025127652803,-23721.47950605751,117238.59716297085,14828.025127652803,0,49,51,92,29.521052631578947
15,-14332.013678211231,-23871.070145136124,111651.74997256683,14332.013678211231,0,45,55,94,32.92631578947368
16,-14332.013678211231,-21975.790958070967,111651.74997256683,14332.013678211231,0,49,51,92,27.95263157894737
17,-14332.013678211231,-24682.487947927304,111651.74997256683,14332.013678211231,0,43,57,92,27.66315789473684
18,-14245.957375983226,-20617.5273364184,111155.97879660701,14245.957375983226,0,53,47,94,26.852631578947367
19,-14245.957375983226,-20889.965644323092,111155.97879660701,14245.957375983226,0,65,35,89,24.473684210526315
20,-14245.957375983226,-20654.695474241365,111155.97879660701,14245.957375983226,0,63,37,87,20.157894736842106
21,-14026.872469834183,-18287.259348162155,110355.73194858509,14026.872469834183,0,71,29,79,13.189473684210526
22,-14026.872469834183,-17749.122076354925,110355.73194858509,14026.872469834183,0,84,16,72,15.610526315789473
23,-14026.872469834183,-16507.214473717107,110355.73194858509,14026.872469834183,0,85,15,71,8.973684210526315
24,-13613.852396332242,-15180.852005377585,107066.68633817618,13613.852396332242,0,92,8,71,13.23157894736842
