depot_id,customers,vehicles,hq_dist_km,turing_dist_km,exact_dist_km,qpso_dist_km,ga_dist_km,hq_time_s,turing_time_s,exact_time_s,qpso_time_s,ga_time_s,violations
1,13,2,23.37,28.66,23.37,31.31,33.34,0.16456913948059082,0.013861656188964844,1.0549123287200928,0.01595306396484375,0.009026765823364258,0
2,4,1,5.82,6.12,5.82,5.82,5.82,0.0063250064849853516,0.0009813308715820312,1.0007989406585693,0.008284568786621094,0.0,0
5,3,1,5.85,5.85,5.85,5.85,5.85,0.0,0.0,0.9961726665496826,0.015230655670166016,0.0,0
6,20,2,29.17,30.82,26.79,33.59,33.29,0.5062494277954102,0.03159904479980469,1.001629114151001,0.030747175216674805,0.012353897094726562,0
7,48,4,26.63,35.31,24.54,32.08,28.98,0.5838131904602051,0.08185791969299316,1.0012764930725098,0.049941062927246094,0.021851539611816406,0
8,5,1,10.83,10.83,10.83,10.83,10.85,0.010173559188842773,0.0,1.0041379928588867,0.007460832595825195,0.004423379898071289,0
9,8,1,12.2,12.2,12.2,13.15,13.13,0.02292323112487793,0.005007743835449219,0.9939470291137695,0.011398077011108398,0.0,0
10,5,1,10.64,10.64,10.64,12.16,13.6,0.010455131530761719,0.0020101070404052734,0.9955103397369385,0.015289068222045898,0.0,0
11,24,2,33.49,34.74,27.85,36.61,36.64,0.5058510303497314,0.07059907913208008,1.005357027053833,0.028577566146850586,0.011378288269042969,0
12,2,1,8.29,8.29,8.29,8.34,8.34,0.0020093917846679688,0.0,0.9899067878723145,0.01583409309387207,0.0,0
13,21,2,22.7,26.57,22.22,38.59,24.76,0.5062646865844727,0.04740333557128906,0.9965476989746094,0.03606438636779785,0.016034364700317383,0
14,8,1,11.66,11.77,11.66,11.99,14.47,0.015130281448364258,0.007923126220703125,0.9898860454559326,0.03180193901062012,0.0,0
16,8,1,7.91,7.91,7.91,8.05,8.1,0.03166532516479492,0.0,1.005756139755249,0.013305902481079102,0.0024099349975585938,0
17,14,1,15.01,16.11,14.63,17.64,16.25,0.06019115447998047,0.013372182846069336,1.0010006427764893,0.01613783836364746,0.0,0
18,1,1,5.53,5.53,5.53,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0
19,18,2,23.79,28.2,23.79,28.16,30.2,0.36309242248535156,0.026452064514160156,0.9935452938079834,0.02991485595703125,0.0037631988525390625,0
20,22,2,20.42,23.95,19.56,25.62,27.43,0.5477385520935059,0.01850438117980957,0.9969875812530518,0.026329755783081055,0.007037639617919922,0
21,15,1,18.68,18.68,18.68,23.82,22.78,0.11130952835083008,0.016360759735107422,0.9956314563751221,0.024701595306396484,0.00714111328125,0
22,42,3,41.87,50.16,41.57,74.4,63.68,0.5679926872253418,0.13316679000854492,1.0116362571716309,0.039510488510131836,0.025587081909179688,0
23,14,2,19.62,19.65,19.62,25.26,25.69,0.14170050621032715,0.0,1.0035223960876465,0.022229433059692383,0.009189367294311523,0
24,5,1,11.33,11.33,11.33,11.33,11.33,0.014513254165649414,0.0,1.0000934600830078,0.01592111587524414,0.007279396057128906,0
25,6,1,9.86,9.86,9.6,9.86,12.89,0.027906417846679688,0.0017518997192382812,0.9874322414398193,0.01585555076599121,0.0,0
26,10,1,19.48,22.11,19.48,23.07,20.43,0.047524213790893555,0.0,1.0003464221954346,0.0,0.020034074783325195,0
27,11,1,24.9,24.93,24.9,35.72,33.66,0.05087685585021973,0.0,1.0143823623657227,0.0,0.01589679718017578,0
28,4,1,15.96,15.96,15.96,15.96,15.96,0.0,0.0,1.0150513648986816,0.011222600936889648,0.00804281234741211,0
29,32,3,55.19,64.15,45.46,68.62,63.56,0.5105037689208984,0.05550527572631836,1.000255823135376,0.03154706954956055,0.0159912109375,0
31,49,4,46.04,51.48,44.52,60.71,55.39,0.5001950263977051,0.10489416122436523,0.9976804256439209,0.04560208320617676,0.029344558715820312,0
32,8,1,11.37,11.45,11.37,12.16,13.51,0.019695281982421875,0.007113933563232422,1.0004427433013916,0.008042097091674805,0.0025033950805664062,0
33,7,1,10.7,10.7,10.7,13.19,11.95,0.019178390502929688,0.0,0.9985346794128418,0.015836477279663086,0.0,0
34,15,2,13.3,13.9,13.3,14.45,14.45,0.17064785957336426,0.01587986946105957,1.006021499633789,0.011673927307128906,0.0,0
35,31,3,28.22,33.13,28.79,49.1,35.59,0.505293607711792,0.12679815292358398,0.9876627922058105,0.042762041091918945,0.021404266357421875,0
36,13,1,13.58,13.97,13.58,13.72,14.3,0.09967708587646484,0.017029285430908203,0.9962921142578125,0.015919208526611328,0.008253097534179688,0
38,17,2,24.04,25.13,24.04,30.42,27.71,0.3340425491333008,0.013469934463500977,0.9942312240600586,0.024927616119384766,0.006772756576538086,0
39,31,3,35.86,47.52,34.88,41.55,43.19,0.5224685668945312,0.05170440673828125,0.9950156211853027,0.038056373596191406,0.01664257049560547,0
40,31,3,34.36,37.59,32.14,44.11,38.26,0.5014431476593018,0.11670231819152832,0.9998040199279785,0.0316312313079834,0.015783071517944336,0
41,11,1,22.39,29.65,19.29,30.81,20.18,0.01582479476928711,0.015798091888427734,0.9996664524078369,0.01578354835510254,0.0,0
42,38,3,32.72,39.4,31.13,37.35,39.96,0.5223422050476074,0.06110739707946777,1.0134241580963135,0.015776634216308594,0.036139488220214844,0
43,6,1,8.31,8.31,8.31,8.36,8.43,0.015862464904785156,0.0,1.0032625198364258,0.015862703323364258,0.0,0
44,4,1,10.52,10.52,10.52,10.52,10.52,0.01575946807861328,0.0,1.003023624420166,0.015853166580200195,0.0,0
45,9,1,21.74,21.74,21.74,21.82,24.12,0.032865047454833984,0.0,1.0002150535583496,0.01583576202392578,0.0,0
