generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
1,-24321.79656039215,-90992.40462542897,157783.62278518526,19321.79656039215,1,0,100,100,39.01578947368421
2,-17166.83133531214,-75927.48046943835,138033.58379121913,17166.83133531214,0,2,98,99,38.83157894736842
3,-17166.83133531214,-65978.81888792831,138033.58379121913,17166.83133531214,0,4,96,98,38.873684210526314
4,-17166.83133531214,-49413.826647391055,138033.58379121913,17166.83133531214,0,6,94,97,38.473684210526315
5,-16941.364455868126,-47120.48793325205,135764.06778153052,16941.364455868126,0,10,90,99,38.0
6,-16583.302842024583,-39975.78304917106,131442.490592779,16583.302842024583,0,17,83,95,38.194736842105264
7,-16583.302842024583,-39389.35189309244,131442.490592779,16583.302842024583,0,19,81,96,38.16315789473684
8,-16192.430785620623,-37615.927240157034,131151.33898084456,16192.430785620623,0,20,80,97,37.64736842105263
9,-16192.430785620623,-37806.29253757871,131151.33898084456,16192.430785620623,0,16,84,99,38.14736842105263
10,-16192.430785620623,-31748.434208556067,131151.33898084456,16192.430785620623,0,25,75,93,37.55263157894737
11,-15882.66461614651,-28973.819737190264,124949.65949317992,15882.66461614651,0,33,67,96,37.22631578947368
12,-15882.66461614651,-29095.354269713862,124949.65949317992,15882.66461614651,0,33,67,98,36.194736842105264
13,-15782.937060435526,-33508.10462606534,124097.93591321418,15782.937060435526,0,32,68,97,35.86842105263158
14,-15765.513058107676,-30879.750306338105,124100.56029514658,15765.513058107676,0,27,73,99,36.73684210526316
15,-15692.422554876312,-30247.908319279013,122138.49337815215,15692.422554876312,0,36,64,97,36.742105263157896
16,-15692.422554876312,-33565.589135982336,122138.49337815215,15692.422554876312,0,26,74,97,35.16842105263158
17,-15560.077876702817,-28027.61445045057,121077.62453706587,15560.077876702817,0,41,59,96,35.61052631578947
18,-15481.882799940766,-27874.529263555127,121673.71872264356,15481.882799940766,0,42,58,91,36.305263157894736
19,-14938.014800699562,-28563.354029274382,115055.85914447706,14938.014800699562,0,46,54,96,35.22105263157895
20,-14938.014800699562,-23897.128237267345,115055.85914447706,14938.014800699562,0,53,47,96,33.10526315789474
21,-14696.212356553513,-25787.090844709488,112965.64898682927,14696.212356553513,0,49,51,98,32.873684210526314
22,-13910.277757579555,-29154.562887144642,106815.10970487578,13910.277757579555,0,47,53,96,33.66842105263158
23,-13910.277757579555,-22480.686829053284,106815.10970487578,13910.277757579555,0,61,39,97,33.81578947368421
24,-13910.277757579555,-24152.622271261156,106815.10970487578,13910.277757579555,0,52,48,96,33.415789473684214
25,-13624.643897143498,-22415.39817110777,105017.61459648497,13624.643897143498,0,60,40,97,33.07368421052632
26,-13557.352556196944,-21886.691765137544,102494.01034908707,13557.352556196944,0,66,34,93,29.68421052631579
27,-13145.282233608452,-20072.901379418552,100996.07363598554,13145.282233608452,0,70,30,89,28.521052631578947
28,-12890.711026991457,-18076.075373078143,98739.8249989649,12890.711026991457,0,78,22,89,30.378947368421052
29,-12890.711026991457,-19175.251125846902,98739.8249989649,12890.711026991457,0,75,25,87,25.3
30,-12890.711026991457,-17810.6143869676,98739.8249989649,12890.711026991457,0,73,27,88,26.5
31,-12679.98082940331,-17687.712424103822,95789.62438467452,12679.98082940331,0,71,29,96,24.86315789473684
32,-12548.787150762473,-16695.401289894668,95697.4248347654,12548.787150762473,0,79,21,87,21.4
33,-12084.013676031977,-18132.502679949936,91965.05433323483,12084.013676031977,0,79,21,88,23.294736842105262
34,-11925.547941287903,-16352.334628822562,89916.37313434687,11925.547941287903,0,82,18,78,17.773684210526316
35,-11925.547941287903,-15512.618978392691,89916.37313434687,11925.547941287903,0,85,15,84,22.489473684210527
36,-11760.568306581976,-14227.61737349699,88858.28668773647,11760.568306581976,0,92,8,87,16.289473684210527
37,-11760.568306581976,-14917.768660377296,88858.28668773647,11760.568306581976,0,88,12,72,16.05263157894737
38,-11694.485427220834,-13266.679214284837,88663.09896099851,11694.485427220834,0,92,8,68,9.531578947368422
39,-11470.908567475366,-13761.146078707145,86707.35037992935,11470.908567475366,0,90,10,64,14.647368421052631
40,-11404.507658673938,-13627.27017333933,86509.51240785567,11404.507658673938,0,88,12,71,12.06842105263158
41,-11346.317197902596,-13892.221013802711,84160.74533856502,11346.317197902596,0,86,14,66,12.81578947368421
42,-11346.317197902596,-12846.19195102572,84160.74533856502,11346.317197902596,0,89,11,60,10.884210526315789
43,-11305.801070637639,-13605.73150218275,83708.24875261268,11305.801070637639,0,89,11,61,10.7
44,-11305.801070637639,-12358.538296460296,83708.24875261268,11305.801070637639,0,94,6,59,9.605263157894736
45,-11105.40288754239,-12904.199698518123,82100.74718030066,11105.40288754239,0,93,7,47,10.6
46,-11105.40288754239,-14098.727905897438,82100.74718030066,11105.40288754239,0,88,12,47,7.11578947368421
47,-11075.809772152708,-12929.869350044706,81739.27569330898,11075.809772152708,0,89,11,58,9.73157894736842
48,-10975.655678064484,-12573.67033735707,80823.22995283543,10975.655678064484,0,93,7,70,9.910526315789474
49,-10734.741367704279,-13089.534374568871,78763.23179457111,10734.741367704279,0,90,10,68,11.547368421052632
50,-10713.927048352045,-14284.436854816444,80754.77103478434,10713.927048352045,0,89,11,80,12.347368421052632
51,-10576.890476051689,-13894.404694838406,80606.95038443748,10576.890476051689,0,83,17,73,11.547368421052632
52,-10493.891840839264,-13797.70983318914,79132.11434464197,10493.891840839264,0,88,12,68,12.652631578947368
53,-10493.891840839264,-12629.869860648583,79132.11434464197,10493.891840839264,0,91,9,76,14.66842105263158
54,-10355.794440481697,-13818.285646531896,78841.81997207743,10355.794440481697,0,92,8,77,15.410526315789474
55,-10355.794440481697,-13925.634662247123,78841.81997207743,10355.794440481697,0,89,11,77,10.994736842105263
56,-10313.852757261324,-12136.198108983745,78551.08943833764,10313.852757261324,0,90,10,65,9.663157894736843
57,-10236.581024708195,-12366.497512489123,77340.20434498736,10236.581024708195,0,92,8,55,9.436842105263159
58,-10236.581024708195,-12173.61194806264,77340.20434498736,10236.581024708195,0,92,8,57,9.8
59,-10000.987168221553,-13410.334010095718,75413.49947523428,10000.987168221553,0,93,7,47,10.947368421052632
60,-10000.987168221553,-11700.254277096554,75413.49947523428,10000.987168221553,0,93,7,42,9.26842105263158
61,-9959.239985216087,-14705.547992765582,74547.62337822405,9959.239985216087,0,94,6,45,10.23157894736842
62,-9867.890410878581,-12657.075342896578,74902.61297059778,9867.890410878581,0,94,6,57,17.626315789473683
63,-9826.143227873115,-13881.307364530136,74036.73687358755,9826.143227873115,0,91,9,62,11.378947368421052
64,-9769.203540112609,-14734.85582780358,74176.226255245,9769.203540112609,0,91,9,64,12.694736842105263
65,-9353.144425194278,-13580.26253130588,70576.60719244558,9353.144425194278,0,93,7,57,14.626315789473685
66,-9353.144425194278,-10603.102683639443,70576.60719244558,9353.144425194278,0,97,3,48,9.926315789473684
67,-9315.42877839357,-12362.112692865408,70079.0554308071,9315.42877839357,0,93,7,47,8.194736842105263
68,-9315.42877839357,-13927.10368242547,70079.0554308071,9315.42877839357,0,93,7,47,6.589473684210526
69,-9315.42877839357,-12147.306698700897,70079.0554308071,9315.42877839357,0,95,5,31,5.089473684210526
70,-9315.42877839357,-15034.665585277158,70079.0554308071,9315.42877839357,0,87,13,43,10.547368421052632
71,-9315.42877839357,-11509.199023082012,70079.0554308071,9315.42877839357,0,95,5,41,6.326315789473684
72,-9315.42877839357,-12753.618137822652,70079.0554308071,9315.42877839357,0,93,7,37,7.536842105263158
73,-9315.42877839357,-11004.259295842494,70079.0554308071,9315.42877839357,0,93,7,33,7.126315789473685
74,-9315.42877839357,-11567.37437677928,70079.0554308071,9315.42877839357,0,93,7,28,5.226315789473684
75,-9315.42877839357,-14894.4811393724,70079.0554308071,9315.42877839357,0,90,10,29,0.8
76,-9315.42877839357,-12883.024758994843,70079.0554308071,9315.42877839357,0,92,8,24,3.331578947368421
77,-9209.625830640323,-13146.95194023474,69251.06894427992,9209.625830640323,0,92,8,26,6.752631578947368
78,-9209.625830640323,-10781.469287612368,69251.06894427992,9209.625830640323,0,96,4,25,5.431578947368421
79,-9209.625830640323,-11389.746619304553,69251.06894427992,9209.625830640323,0,94,6,30,3.9947368421052634
80,-9209.625830640323,-10183.379416492475,69251.06894427992,9209.625830640323,0,97,3,23,1.3473684210526315
81,-9209.625830640323,-11927.619041817927,69251.06894427992,9209.625830640323,0,94,6,24,3.663157894736842
82,-9209.625830640323,-10259.425432473905,69251.06894427992,9209.625830640323,0,98,2,25,3.1578947368421053
83,-9004.707547524784,-9744.500782993582,68422.31953823491,9004.707547524784,0,97,3,29,1.9947368421052631
84,-9004.707547524784,-11006.173508836548,68422.31953823491,9004.707547524784,0,96,4,31,3.136842105263158
85,-9004.707547524784,-10900.218728201746,68422.31953823491,9004.707547524784,0,93,7,34,9.152631578947368
