generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
1,-134915.9374629679,-300398.7752636013,355050.28365338495,34915.93746296791,20,0,100,100,48.97894736842105
2,-103975.86850314317,-261367.67433442976,350577.9466656289,33975.868503143174,14,0,100,97,48.31578947368421
3,-103975.86850314317,-222852.63452171296,350577.9466656289,33975.868503143174,14,0,100,98,48.357894736842105
4,-97701.2212281214,-193898.09898746826,333109.13485724997,32701.221228121394,13,0,100,95,47.8421052631579
5,-97696.12551624383,-173871.0067603672,326245.94514110417,32696.125516243832,13,0,100,95,48.01052631578948
6,-92728.97378864948,-169163.43125452512,325506.5212964701,32728.973788649484,12,0,100,99,47.742105263157896
7,-87666.04682324009,-144932.20550827336,328197.12188113417,32666.04682324009,11,0,100,96,47.81578947368421
8,-87666.04682324009,-146019.22570713845,328197.12188113417,32666.04682324009,11,0,100,99,47.64736842105263
9,-87666.04682324009,-142795.04375017257,328197.12188113417,32666.04682324009,11,0,100,100,47.66842105263158
10,-85739.48129292371,-123240.13223963782,302115.23343221616,30739.481292923716,11,0,100,96,46.61578947368421
11,-85739.48129292371,-120778.25105250208,302115.23343221616,30739.481292923716,11,0,100,96,47.21052631578947
12,-85356.14627278234,-120870.48431557725,305089.5571084773,30356.146272782335,11,0,100,98,45.83684210526316
13,-80092.01525705699,-110905.18395192301,299843.3897789929,30092.01525705699,10,0,100,95,44.6
14,-80092.01525705699,-106568.66386143619,299843.3897789929,30092.01525705699,10,0,100,99,42.01052631578948
15,-78349.3113513019,-104343.02605649258,279893.3630348049,28349.311351301913,10,0,100,93,43.82631578947368
16,-78349.3113513019,-99987.72391017486,279893.3630348049,28349.311351301913,10,0,100,97,41.35263157894737
17,-60158.96561151363,-95958.89253037276,305687.3936410467,30158.96561151363,6,0,100,96,42.28947368421053
18,-60158.96561151363,-96211.26783489628,305687.3936410467,30158.96561151363,6,0,100,98,41.2
19,-60158.96561151363,-94819.63991379399,305687.3936410467,30158.96561151363,6,0,100,91,37.50526315789474
20,-60158.96561151363,-93942.01069356696,305687.3936410467,30158.96561151363,6,0,100,92,33.04210526315789
21,-41277.1264317413,-85450.74211833838,260015.04458594535,26277.1264317413,3,0,100,78,27.92105263157895
22,-41277.1264317413,-86684.11711859464,260015.04458594535,26277.1264317413,3,0,100,82,31.542105263157893
23,-41237.99925484709,-75870.95899553655,259501.40273946853,26237.99925484709,3,0,100,75,20.83684210526316
24,-40998.57437608279,-70273.49888380997,256468.54149650974,25998.57437608279,3,0,100,71,23.568421052631578
25,-40755.646701882615,-64047.672805700546,255144.25400907162,25755.646701882615,3,0,100,72,20.942105263157895
26,-40364.83793869751,-53840.79130267123,250747.40559187453,25364.837938697507,3,0,100,76,19.25263157894737
27,-40097.13815004584,-48298.82168425137,249813.41361686782,25097.138150045837,3,0,100,66,21.394736842105264
28,-39506.63974810695,-45947.47870787072,244713.82726803946,24506.63974810695,3,0,100,57,13.089473684210526
29,-39506.63974810695,-47749.078608938384,244713.82726803946,24506.63974810695,3,0,100,61,20.45263157894737
30,-39464.44501230337,-46199.364248924634,242705.65983334757,24464.445012303368,3,0,100,57,15.136842105263158
31,-39052.82144731238,-45343.2749043265,236611.08327562016,24052.821447312377,3,0,100,54,11.742105263157894
32,-38860.42955910289,-48783.184802883174,237322.37065284917,23860.429559102893,3,0,100,56,16.326315789473686
